,,4 x 4 x 5 = 80 x 3 rep = 240,,,,,
,,BR2121,,,,,
,,"M(1), A(2), B(3), C(4)",,"0(1),10(2), 20(3), 40(4)",,"0(1), 50(2), 110(3), 150(4), 190(5)",
,,rotação 1,,inseto,,tempo,r
REP 1,A,2,20,3,190,5,"0,00578"
REP 2,A,2,20,3,190,5,"0,00403"
REP 3,A,2,20,3,190,5,"0,00213"
REP 1,A,2,40,4,190,5,"-0,00055"
REP 2,A,2,40,4,190,5,"0,00085"
REP 3,A,2,40,4,190,5,"-0,00055"
BR2121,,,,,,,
REP 1,B,3,0,1,0,1,0
REP 2,B,3,0,1,0,1,0
REP 3,B,3,0,1,0,1,0
REP 1,B,3,10,2,0,1,0
REP 2,B,3,10,2,0,1,0
REP 3,B,3,10,2,0,1,0
REP 1,B,3,20,3,0,1,0
REP 2,B,3,20,3,0,1,0
REP 3,B,3,20,3,0,1,0
REP 1,B,3,40,4,0,1,0
REP 2,B,3,40,4,0,1,0
REP 3,B,3,40,4,0,1,0
REP 1,B,3,0,1,50,2,#VALUE!
REP 2,B,3,0,1,50,2,#VALUE!
REP 3,B,3,0,1,50,2,#VALUE!
REP 1,B,3,10,2,50,2,"-0,00211"
REP 2,B,3,10,2,50,2,"-0,00446"
REP 3,B,3,10,2,50,2,"0,00000"
REP 1,B,3,20,3,50,2,"0,00000"
REP 2,B,3,20,3,50,2,"0,00000"
REP 3,B,3,20,3,50,2,"0,00000"
REP 1,B,3,40,4,50,2,"-0,00051"
REP 2,B,3,40,4,50,2,"-0,00103"
REP 3,B,3,40,4,50,2,"0,00000"
REP 1,B,3,0,1,110,3,#VALUE!
REP 2,B,3,0,1,110,3,#VALUE!
REP 3,B,3,0,1,110,3,#VALUE!
REP 1,B,3,10,2,110,3,"0,01057"
REP 2,B,3,10,2,110,3,"0,00584"
REP 3,B,3,10,2,110,3,"0,00630"
REP 1,B,3,20,3,110,3,"0,00455"
REP 2,B,3,20,3,110,3,"0,00203"
REP 3,B,3,20,3,110,3,"0,00127"
REP 1,B,3,40,4,110,3,"0,00022"
REP 2,B,3,40,4,110,3,"-0,00121"
REP 3,B,3,40,4,110,3,"0,00022"
REP 1,B,3,0,1,150,4,#VALUE!
REP 2,B,3,0,1,150,4,#VALUE!
REP 3,B,3,0,1,150,4,#VALUE!
REP 1,B,3,10,2,150,4,"0,00941"
REP 2,B,3,10,2,150,4,"0,00270"
REP 3,B,3,10,2,150,4,"0,00354"
REP 1,B,3,20,3,150,4,"0,00495"
REP 2,B,3,20,3,150,4,"0,00175"
REP 3,B,3,20,3,150,4,"0,00200"
REP 1,B,3,40,4,150,4,"0,00248"
REP 2,B,3,40,4,150,4,"0,00064"
REP 3,B,3,40,4,150,4,"0,00048"
REP 1,B,3,0,1,190,5,#VALUE!
REP 2,B,3,0,1,190,5,#VALUE!
REP 3,B,3,0,1,190,5,#VALUE!
REP 1,B,3,10,2,190,5,"0,00780"
REP 2,B,3,10,2,190,5,"0,00096"
