,Cultivar,N0,Rotacao_RPM,Tempo_Dias,Taxa_r
184,Normal,20,500,110,0.00398
185,Normal,20,500,150,0.00224
186,Normal,20,500,190,0.00158
187,Normal,40,500,50,0.0
188,Normal,40,500,110,0.00127
189,Normal,40,500,150,-0.00017
190,Normal,40,500,190,-0.00392
191,Normal,10,0,50,0.0
192,Normal,10,0,110,0.0
193,Normal,10,0,150,0.0
194,Normal,10,0,190,0.0005
195,Normal,20,0,50,-0.00103
196,Normal,20,0,110,0.00239
197,Normal,20,0,150,0.002
198,Normal,20,0,190,0.00026
199,Normal,40,0,50,-0.00156
200,Normal,40,0,110,-0.03354
201,Normal,10,700,50,0.0
202,Normal,10,700,110,0.00757
203,Normal,10,700,150,0.00686
204,Normal,10,700,190,0.00503
205,Normal,20,700,50,0.0
206,Normal,20,700,110,0.00398
207,Normal,20,700,150,0.0027
208,Normal,20,700,190,0.00158
209,Normal,40,700,50,0.0
210,Normal,40,700,110,0.00107
211,Normal,40,700,150,0.0
212,Normal,40,700,190,-0.00169
213,Normal,10,600,50,0.0
214,Normal,10,600,110,0.00482
215,Normal,10,600,150,0.00584
216,Normal,10,600,190,0.00438
217,Normal,20,600,50,0.0
218,Normal,20,600,110,-0.00047
219,Normal,20,600,150,0.00093
220,Normal,20,600,190,-0.00151
221,Normal,40,600,50,0.0
222,Normal,40,600,110,-0.00096
223,Normal,40,600,150,-0.00238
224,Normal,40,600,190,-0.00339
225,Normal,10,500,50,0.0
226,Normal,10,500,110,0.00369
227,Normal,10,500,150,0.00122
228,Normal,10,500,190,-0.00269
229,Normal,20,500,50,0.0
230,Normal,20,500,110,0.00127
231,Normal,20,500,150,-0.00034
232,Normal,20,500,190,-0.00086
233,Normal,40,500,50,-0.00051
234,Normal,40,500,110,-0.00121
235,Normal,40,500,150,-0.00214
236,Normal,40,500,190,-0.00516
237,Normal,10,0,50,0.0
238,Normal,10,0,110,0.00087
239,Normal,10,0,150,-0.00238
240,Normal,10,0,190,-0.00365
241,Normal,20,0,50,-0.00103
242,Normal,20,0,110,0.00044
243,Normal,20,0,150,-0.01535
244,Normal,40,0,50,0.0
245,Normal,40,0,110,-0.00096
246,Normal,40,0,150,-0.00654
247,Normal,40,0,190,-0.0073
248,Normal,10,700,50,0.0
