R - repetição,,,,,,,,,,,,,,
I - inseto,,,,,,,,,,,,,,
M - manual,,,,,,,,,,,,,,
A - 700 rpm,,,,,,,,,,,,,,
B - 600 rpm,,,,,,,,,,,,,,
C - 500 rpm,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,27/08/98 (50),,,,28/10/98 (110),,,(150),,,(190),,
,Repetição 1,BR3123,Vivos,Mortos,r,Vivos,Mortos,r,Vivos,Mortos,r,Vivos,Mortos,r
0,R1I1M,U1R1M,-,-,#VALUE!,-,-,#VALUE!,-,-,#VALUE!,-,-,#VALUE!
10,I2M,R2M,9,1,"-0,00211",8,2,"-0,00203",7,4,"-0,00238",6,9,"-0,00269"
20,I3M,R3M,17,3,"-0,00325",18,7,"-0,00096",9,21,"-0,00532",1,32,"-0,01577"
40,I4M,R4M,40,-,"0,00000",20,24,"-0,00630",9,35,"-0,00994",0,44,#NUM!
,,,,,,,,,,,,,,
,,27/08/98 (50),,,,28/10/98 (110),,,(150),,,(190),,
,Repetição 1,BR3123,Vivos,Mortos,r,Vivos,Mortos,r,Vivos,Mortos,r,Vivos,Mortos,r
0,R1I1A,U1R1A,-,-,#VALUE!,-,-,#VALUE!,-,-,#VALUE!,-,-,#VALUE!
10,I2A,R2A,10,-,"0,00000",15,2,"0,00369",17,2,"0,00354",16,6,"0,00247"
20,I3A,R3A,20,-,"0,00000",31,2,"0,00398",32,8,"0,00313",26,14,"0,00138"
40,I4A,R4A,38,2,"-0,00103",37,4,"-0,00071",28,15,"-0,00238",17,30,"-0,00450"
,,,,,,,,,,,,,,
,,27/08/98 (50),,,,28/10/98 (110),,,(150),,,(190),,
,Repetição 1,BR3123,Vivos,Mortos,r,Vivos,Mortos,r,Vivos,Mortos,r,Vivos,Mortos,r
0,R1I1B,U1R1B,-,-,#VALUE!,-,-,#VALUE!,-,-,#VALUE!,-,-,#VALUE!
10,I2B,R2B,10,-,"0,00000",14,-,"0,00306",13,1,"0,00175",11,5,"0,00050"
20,I3B,R3B,20,-,"0,00000",34,3,"0,00482",33,6,"0,00334",32,13,"0,00247"
40,I4B,R4B,40,-,"0,00000",40,4,"0,00000",33,11,"-0,00128",22,23,"-0,00315"
,,,,,,,,,,,,,,
,,27/08/98 (50),,,,28/10/98 (110),,,(150),,,(190),,
,Repetição 1,BR3123,Vivos,Mortos,r,Vivos,Mortos,r,Vivos,Mortos,r,Vivos,Mortos,r
0,R1I1C,U1R1C,-,-,#VALUE!,-,-,#VALUE!,-,-,#VALUE!,-,-,#VALUE!
10,I2C,R2C,10,-,"0,00000",16,-,"0,00427",12,4,"0,00122",11,7,"0,00050"
20,I3C,R3C,20,-,"0,00000",31,2,"0,00398",28,8,"0,00224",27,13,"0,00158"
40,I4C,R4C,40,-,"0,00000",46,4,"0,00127",39,15,"-0,00017",19,36,"-0,00392"
,,,,,,,,,,,,,,
,,27/08/98 (50),,,,28/10/98 (110),,,(150),,,(190),,
,Repetição 2,BR3123,Vivos,Mortos,r,Vivos,Mortos,r,Vivos,Mortos,r,Vivos,Mortos,r
0,R2I1M,U2R1M,-,-,#VALUE!,-,-,#VALUE!,-,-,#VALUE!,-,-,#VALUE!
10,I2M,R2M,10,-,"0,00000",10,-,"0,00000",10,2,"0,00000",11,5,"0,00050"
20,I3M,R3M,19,1,"-0,00103",26,1,"0,00239",27,9,"0,00200",21,20,"0,00026"
40,I4M,R4M,37,3,"-0,00156",1,39,"-0,03354",-,41,#VALUE!,-,41,#VALUE!
,,,,,,,,,,,,,,
,,27/08/98 (50),,,,28/10/98 (110),,,(150),,,(190),,
,Repetição 2,BR3123,Vivos,Mortos,r,Vivos,Mortos,r,Vivos,Mortos,r,Vivos,Mortos,r
0,R2I1A,U2R1A,-,-,#VALUE!,-,-,#VALUE!,-,-,#VALUE!,-,-,#VALUE!
10,I2A,R2A,10,-,"0,00000",23,-,"0,00757",28,3,"0,00686",26,6,"0,00503"
20,I3A,R3A,20,-,"0,00000",31,3,"0,00398",30,7,"0,00270",27,13,"0,00158"
40,I4A,R4A,40,-,"0,00000",45,2,"0,00107",40,11,"0,00000",29,23,"-0,00169"
,,,,,,,,,,,,,,
,,27/08/98 (50),,,,28/10/98 (110),,,(150),,,(190),,
,Repetição 2,BR3123,Vivos,Mortos,r,Vivos,Mortos,r,Vivos,Mortos,r,Vivos,Mortos,r
0,R2I1B,U2R1B,-,-,#VALUE!,-,-,#VALUE!,-,-,#VALUE!,-,-,#VALUE!
10,I2B,R2B,10,-,"0,00000",17,1,"0,00482",24,1,"0,00584",23,5,"0,00438"
20,I3B,R3B,20,-,"0,00000",19,3,"-0,00047",23,6,"0,00093",15,8,"-0,00151"
40,I4B,R4B,40,-,"0,00000",36,4,"-0,00096",28,17,"-0,00238",21,31,"-0,00339"
,,,,,,,,,,,,,,
,,27/08/98 (50),,,,28/10/98 (110),,,(150),,,(190),,
,Repetição 2,BR3123,Vivos,Mortos,r,Vivos,Mortos,r,Vivos,Mortos,r,Vivos,Mortos,r
0,R2I1C,U2R1C,-,-,#VALUE!,-,-,#VALUE!,-,-,#VALUE!,-,-,#VALUE!
10,I2C,R2C,10,-,"0,00000",15,6,"0,00369",12,10,"0,00122",6,16,"-0,00269"
20,I3C,R3C,20,-,"0,00000",23,2,"0,00127",19,7,"-0,00034",17,20,"-0,00086"
40,I4C,R4C,39,1,"-0,00051",35,6,"-0,00121",29,16,"-0,00214",15,30,"-0,00516"
,,,,,,,,,,,,,,
,,27/08/98 (50),,,,28/10/98 (110),,,(150),,,(190),,
,Repetição 3,BR3123,Vivos,Mortos,r,Vivos,Mortos,r,Vivos,Mortos,r,Vivos,Mortos,r
0,R3I1M,U3R1M,-,-,#VALUE!,-,-,#VALUE!,-,-,#VALUE!,-,-,#VALUE!
10,I2M,R2M,10,-,"0,00000",11,1,"0,00087",7,6,"-0,00238",5,8,"-0,00365"
20,I3M,R3M,19,1,"-0,00103",21,2,"0,00044",2,22,"-0,01535",-,24,#VALUE!
40,I4M,R4M,40,-,"0,00000",36,6,"-0,00096",15,28,"-0,00654",10,32,"-0,00730"
,,,,,,,,,,,,,,
,,27/08/98 (50),,,,28/10/98 (110),,,(150),,,(190),,
,repetição 3,BR3123,Vivos,Mortos,r,Vivos,Mortos,r,Vivos,Mortos,r,Vivos,Mortos,r
0,R3I1A,U3R1A,-,-,#VALUE!,-,-,#VALUE!,-,-,#VALUE!,-,-,#VALUE!
10,I2A,R2A,10,2,"0,00000",12,5,"0,00166",15,7,"0,00270",9,10,"-0,00055"
20,I3A,R3A,20,-,"0,00000",26,1,"0,00239",23,6,"0,00093",22,11,"0,00050"
40,I4A,R4A,40,-,"0,00000",40,5,"0,00000",38,17,"-0,00034",30,26,"-0,00151"
,,,,,,,,,,,,,,
,,27/08/98 (50),,,,28/10/98 (110),,,(150),,,(190),,
,Repetição 3,BR3123,Vivos,Mortos,r,Vivos,Mortos,r,Vivos,Mortos,r,Vivos,Mortos,r
0,R3I1B,U3R1B,-,-,#VALUE!,-,-,#VALUE!,-,-,#VALUE!,-,-,#VALUE!
10,I2B,R2B,10,-,"0,00000",16,1,"0,00427",16,5,"0,00313",17,6,"0,00279"
20,I3B,R3B,20,-,"0,00000",20,6,"0,00000",12,17,"-0,00341",13,25,"-0,00227"
40,I4B,R4B,40,-,"0,00000",39,5,"-0,00023",36,15,"-0,00070",20,26,"-0,00365"
,,,,,,,,,,,,,,
,,27/08/98 (50),,,,28/10/98 (110),,,(150),,,(190),,
